auteur,bibliographie,definition,exemple,reference,renvoi,traduction
0.8425,0.5522,0.7054,0.7682,0.3622,0.7483,0.7518
0.8185,0.3094,0.9027,0.7422,0.4706,0.7719,0.7333
0.5823,0.7961,0.8098,0.7377,0.5484,0.7717,0.7698
0.6393,0.6494,0.7843,0.7265,0.8,0.7347,0.7698
0.7259,0.4756,0.8847,0.733,0.6296,0.6923,0.7872
0.5897,0.2411,0.8777,0.6737,0.4324,0.3836,0.7094
0.2632,0.1538,0.6084,0.2103,0.0,0.0351,0.2814
0.0357,0.0,0.4292,0.2344,0.0,0.0,0.0787
0.4977,0.3611,0.3183,0.389,0.0,0.0351,0.1
0.5236,0.2647,0.5801,0.2562,0.0,0.0,0.4455
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1461,0.0168,0.6397,0.6059,0.2424,0.1562,0.5385
0.4865,0.338,0.7774,0.6188,0.7111,0.7959,0.4934
0.1143,0.0813,0.5347,0.3827,0.0,0.0,0.2188
0.024,0.0333,0.5816,0.1533,0.0,0.0,0.1905
0.0,0.0,0.3421,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3171,0.233,0.8656,0.4101,0.4,0.5333,0.6862
0.125,0.127,0.9086,0.3578,0.0,0.2769,0.6846
0.2194,0.2385,0.6148,0.2045,0.5714,0.5185,0.6288
0.2162,0.0,0.7553,0.5232,0.0,0.0,0.4664
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
