definition,encycl,etym,exemple,glose,reference,renvoi,traduction
0.9638,0.7633,0.4727,0.8301,0.4667,0.4444,0.8504,0.7786
0.9231,0.7548,0.3421,0.7277,0.1224,0.6737,0.8387,0.7191
0.8414,0.6125,0.1871,0.6185,0.0833,0.6857,0.8545,0.7286
0.201,0.3019,0.0,0.0569,0.0,0.1538,0.0,0.0787
0.4071,0.3797,0.0,0.0956,0.1224,0.2128,0.0,0.1514
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7088,0.4279,0.25,0.526,0.16,0.4062,0.1356,0.5066
0.3061,0.0546,0.0465,0.15,0.0,0.0,0.0,0.1566
0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6879,0.2524,0.2,0.7179,0.0816,0.5,0.5526,0.6693
0.7948,0.2775,0.2378,0.3754,0.2963,0.4494,0.3889,0.6718
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
