model,prompt,mean_f1_mainEntry,mean_f1_relatedEntry,mean_f1_tag:milestone,mean_f1_tag:usg_dom,mean_f1_tag:usg_other
gemini-3.1-flash-lite-preview,FS,0.86,0.23,0.67,0.46,0.27
gemini-3.1-flash-lite-preview,FS-R,0.93,0.22,0.15,0.57,0.29
gemini-3.1-flash-lite-preview,ZS,0.85,0.09,0.57,0.50,0.07
gemma-3-27b-it,FS,0.76,0.26,0.44,0.00,0.00
gemma-3-27b-it,FS-R,0.78,0.43,0.28,0.00,0.00
gemma-3-27b-it,ZS,0.65,0.06,0.19,0.00,0.00
gpt-5-mini,FS,0.95,0.24,0.57,0.61,0.51
gpt-5-mini,FS-R,0.94,0.23,0.07,0.15,0.21
gpt-5-mini,ZS,0.95,0.20,0.34,0.15,0.00
gpt-5.4-mini,FS,0.93,0.14,0.17,0.52,0.17
gpt-5.4-mini,FS-R,0.91,0.12,0.10,0.10,0.08
gpt-5.4-mini,ZS,0.93,0.05,0.06,0.00,0.00
