modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,definition,173,7,6,0.9611,0.9665,0.9638
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,encycl,129,29,51,0.8165,0.7167,0.7633
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,etym,39,0,87,1.0,0.3095,0.4727
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,exemple,171,2,68,0.9884,0.7155,0.8301
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,glose,14,0,32,1.0,0.3043,0.4667
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,reference,32,80,0,0.2857,1.0,0.4444
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,renvoi,54,18,1,0.75,0.9818,0.8504
gemini-3.1-flash-lite-preview,FS,niveau_parallele_2,traduction,109,0,62,1.0,0.6374,0.7786
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,definition,162,10,17,0.9419,0.905,0.9231
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,encycl,117,13,63,0.9,0.65,0.7548
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,etym,26,0,100,1.0,0.2063,0.3421
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,exemple,139,4,100,0.972,0.5816,0.7277
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,glose,3,0,43,1.0,0.0652,0.1224
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,reference,32,31,0,0.5079,1.0,0.6737
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,renvoi,52,17,3,0.7536,0.9455,0.8387
gemini-3.1-flash-lite-preview,FS-R,niveau_parallele_2,traduction,96,0,75,1.0,0.5614,0.7191
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,definition,130,0,49,1.0,0.7263,0.8414
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,encycl,83,8,97,0.9121,0.4611,0.6125
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,etym,13,0,113,1.0,0.1032,0.1871
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,exemple,107,0,132,1.0,0.4477,0.6185
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,glose,2,0,44,1.0,0.0435,0.0833
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,reference,24,14,8,0.6316,0.75,0.6857
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,renvoi,47,8,8,0.8545,0.8545,0.8545
gemini-3.1-flash-lite-preview,ZS,niveau_parallele_2,traduction,98,0,73,1.0,0.5731,0.7286
gemma-3-27b-it,FS,niveau_parallele_2,definition,20,0,159,1.0,0.1117,0.201
gemma-3-27b-it,FS,niveau_parallele_2,encycl,32,0,148,1.0,0.1778,0.3019
gemma-3-27b-it,FS,niveau_parallele_2,etym,0,0,126,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau_parallele_2,exemple,7,0,232,1.0,0.0293,0.0569
gemma-3-27b-it,FS,niveau_parallele_2,glose,0,0,46,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau_parallele_2,reference,3,4,29,0.4286,0.0938,0.1538
gemma-3-27b-it,FS,niveau_parallele_2,renvoi,0,0,55,0.0,0.0,0.0
gemma-3-27b-it,FS,niveau_parallele_2,traduction,7,0,164,1.0,0.0409,0.0787
gemma-3-27b-it,FS-R,niveau_parallele_2,definition,46,1,133,0.9787,0.257,0.4071
gemma-3-27b-it,FS-R,niveau_parallele_2,encycl,45,12,135,0.7895,0.25,0.3797
gemma-3-27b-it,FS-R,niveau_parallele_2,etym,0,0,126,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau_parallele_2,exemple,12,0,227,1.0,0.0502,0.0956
gemma-3-27b-it,FS-R,niveau_parallele_2,glose,3,0,43,1.0,0.0652,0.1224
gemma-3-27b-it,FS-R,niveau_parallele_2,reference,5,10,27,0.3333,0.1562,0.2128
gemma-3-27b-it,FS-R,niveau_parallele_2,renvoi,0,0,55,0.0,0.0,0.0
gemma-3-27b-it,FS-R,niveau_parallele_2,traduction,14,0,157,1.0,0.0819,0.1514
gemma-3-27b-it,ZS,niveau_parallele_2,definition,0,0,179,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_2,encycl,0,0,180,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_2,etym,0,0,126,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_2,exemple,0,0,239,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_2,glose,0,0,46,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_2,reference,0,0,32,0.0,0.0,0.0
gemma-3-27b-it,ZS,niveau_parallele_2,renvoi,0,0,55,0.0,0.0,0.0
