model,prompt,group_type,group_name,mean_precision,mean_recall,macro_f1,micro_f1,support,n_documents
gemini-3.1-flash-lite-preview,FS,entry,mainEntry,0.94,0.94,0.94,0.95,102,10
gemini-3.1-flash-lite-preview,FS,entry,relatedEntry,0.49,0.16,0.21,0.26,57,10
gemini-3.1-flash-lite-preview,FS,tag,milestone,0.64,0.90,0.71,0.78,41,10
gemini-3.1-flash-lite-preview,FS,tag,usg_dom,0.70,0.58,0.63,0.83,17,10
gemini-3.1-flash-lite-preview,FS,tag,usg_other,0.30,0.12,0.17,0.37,31,10
gemini-3.1-flash-lite-preview,FS-R,entry,mainEntry,0.92,0.94,0.93,0.93,102,10
gemini-3.1-flash-lite-preview,FS-R,entry,relatedEntry,0.47,0.23,0.26,0.40,57,10
gemini-3.1-flash-lite-preview,FS-R,tag,milestone,0.00,0.00,0.00,0.00,41,10
gemini-3.1-flash-lite-preview,FS-R,tag,usg_dom,0.65,0.55,0.56,0.76,17,10
gemini-3.1-flash-lite-preview,FS-R,tag,usg_other,0.00,0.00,0.00,0.00,31,10
gemini-3.1-flash-lite-preview,ZS,entry,mainEntry,0.94,0.94,0.94,0.94,102,10
gemini-3.1-flash-lite-preview,ZS,entry,relatedEntry,0.37,0.22,0.23,0.24,57,10
gemini-3.1-flash-lite-preview,ZS,tag,milestone,0.57,1.00,0.68,0.67,41,10
gemini-3.1-flash-lite-preview,ZS,tag,usg_dom,0.70,0.55,0.60,0.79,17,10
gemini-3.1-flash-lite-preview,ZS,tag,usg_other,0.20,0.10,0.14,0.37,31,10
gemma-3-27b-it,FS,entry,mainEntry,0.84,0.92,0.87,0.89,102,10
gemma-3-27b-it,FS,entry,relatedEntry,0.53,0.42,0.41,0.45,57,10
gemma-3-27b-it,FS,tag,milestone,0.26,0.38,0.27,0.38,41,10
gemma-3-27b-it,FS,tag,usg_dom,0.10,0.03,0.05,0.11,17,10
gemma-3-27b-it,FS,tag,usg_other,0.00,0.00,0.00,0.00,31,10
gemma-3-27b-it,FS-R,entry,mainEntry,0.78,0.86,0.81,0.81,102,10
gemma-3-27b-it,FS-R,entry,relatedEntry,0.34,0.49,0.40,0.59,57,10
gemma-3-27b-it,FS-R,tag,milestone,0.26,0.15,0.15,0.39,41,10
gemma-3-27b-it,FS-R,tag,usg_dom,0.10,0.03,0.05,0.11,17,10
gemma-3-27b-it,FS-R,tag,usg_other,0.00,0.00,0.00,0.00,31,10
gemma-3-27b-it,ZS,entry,mainEntry,0.66,0.93,0.74,0.72,102,10
gemma-3-27b-it,ZS,entry,relatedEntry,0.18,0.14,0.15,0.21,57,10
gemma-3-27b-it,ZS,tag,milestone,0.12,0.30,0.17,0.34,41,10
gemma-3-27b-it,ZS,tag,usg_dom,0.00,0.00,0.00,0.00,17,10
gemma-3-27b-it,ZS,tag,usg_other,0.00,0.00,0.00,0.00,31,10
gpt-5-mini,FS,entry,mainEntry,0.95,0.94,0.95,0.96,102,10
gpt-5-mini,FS,entry,relatedEntry,0.56,0.25,0.31,0.45,57,10
gpt-5-mini,FS,tag,milestone,0.51,0.80,0.61,0.72,41,10
gpt-5-mini,FS,tag,usg_dom,0.40,0.22,0.27,0.38,17,10
gpt-5-mini,FS,tag,usg_other,0.10,0.02,0.03,0.06,31,10
gpt-5-mini,FS-R,entry,mainEntry,0.93,0.93,0.93,0.93,102,10
gpt-5-mini,FS-R,entry,relatedEntry,0.45,0.22,0.25,0.40,57,10
gpt-5-mini,FS-R,tag,milestone,0.10,0.01,0.03,0.05,41,10
gpt-5-mini,FS-R,tag,usg_dom,0.20,0.13,0.15,0.21,17,10
gpt-5-mini,FS-R,tag,usg_other,0.00,0.00,0.00,0.00,31,10
gpt-5-mini,ZS,entry,mainEntry,0.89,0.88,0.89,0.88,102,10
gpt-5-mini,ZS,entry,relatedEntry,0.20,0.04,0.06,0.11,57,10
gpt-5-mini,ZS,tag,milestone,0.35,0.90,0.48,0.54,41,10
gpt-5-mini,ZS,tag,usg_dom,0.10,0.03,0.05,0.11,17,10
gpt-5-mini,ZS,tag,usg_other,0.10,0.05,0.06,0.28,31,10
gpt-5.4-mini,FS,entry,mainEntry,0.93,0.96,0.94,0.94,102,10
gpt-5.4-mini,FS,entry,relatedEntry,0.20,0.03,0.06,0.07,57,10
gpt-5.4-mini,FS,tag,milestone,0.14,0.20,0.16,0.28,41,10
gpt-5.4-mini,FS,tag,usg_dom,0.40,0.28,0.32,0.52,17,10
gpt-5.4-mini,FS,tag,usg_other,0.20,0.07,0.10,0.37,31,10
gpt-5.4-mini,FS-R,entry,mainEntry,0.91,0.93,0.92,0.92,102,10
gpt-5.4-mini,FS-R,entry,relatedEntry,0.43,0.13,0.19,0.24,57,10
gpt-5.4-mini,FS-R,tag,milestone,0.00,0.00,0.00,0.00,41,10
gpt-5.4-mini,FS-R,tag,usg_dom,0.10,0.10,0.10,0.11,17,10
gpt-5.4-mini,FS-R,tag,usg_other,0.00,0.00,0.00,0.00,31,10
gpt-5.4-mini,ZS,entry,mainEntry,0.91,0.88,0.89,0.89,102,10
gpt-5.4-mini,ZS,entry,relatedEntry,0.30,0.04,0.07,0.13,57,10
gpt-5.4-mini,ZS,tag,milestone,0.11,0.11,0.04,0.08,41,10
gpt-5.4-mini,ZS,tag,usg_dom,0.20,0.15,0.17,0.21,17,10
gpt-5.4-mini,ZS,tag,usg_other,0.00,0.00,0.00,0.00,31,10
