modele,type_prompt,niveau,tag,tp,fp,fn,precision_micro,recall_micro,f1_micro
gemini-3.1-flash-lite-preview,FS,niveau2.6,auteur,123,4,42,0.9685,0.7455,0.8425
gemini-3.1-flash-lite-preview,FS,niveau2.6,bibliographie,82,97,36,0.4581,0.6949,0.5522
gemini-3.1-flash-lite-preview,FS,niveau2.6,definition,182,151,1,0.5465,0.9945,0.7054
gemini-3.1-flash-lite-preview,FS,niveau2.6,exemple,179,46,62,0.7956,0.7427,0.7682
gemini-3.1-flash-lite-preview,FS,niveau2.6,reference,23,75,6,0.2347,0.7931,0.3622
gemini-3.1-flash-lite-preview,FS,niveau2.6,renvoi,55,36,1,0.6044,0.9821,0.7483
gemini-3.1-flash-lite-preview,FS,niveau2.6,traduction,103,0,68,1.0,0.6023,0.7518
gemini-3.1-flash-lite-preview,FS,niveau2.8,auteur,115,1,50,0.9914,0.697,0.8185
gemini-3.1-flash-lite-preview,FS,niveau2.8,bibliographie,28,35,90,0.4444,0.2373,0.3094
gemini-3.1-flash-lite-preview,FS,niveau2.8,definition,181,37,2,0.8303,0.9891,0.9027
gemini-3.1-flash-lite-preview,FS,niveau2.8,exemple,203,103,38,0.6634,0.8423,0.7422
gemini-3.1-flash-lite-preview,FS,niveau2.8,reference,20,36,9,0.3571,0.6897,0.4706
gemini-3.1-flash-lite-preview,FS,niveau2.8,renvoi,44,14,12,0.7586,0.7857,0.7719
gemini-3.1-flash-lite-preview,FS,niveau2.8,traduction,99,0,72,1.0,0.5789,0.7333
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,auteur,69,3,96,0.9583,0.4182,0.5823
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,bibliographie,82,6,36,0.9318,0.6949,0.7961
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,definition,181,83,2,0.6856,0.9891,0.8098
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,exemple,180,67,61,0.7287,0.7469,0.7377
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,reference,17,16,12,0.5152,0.5862,0.5484
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,renvoi,49,22,7,0.6901,0.875,0.7717
gemini-3.1-flash-lite-preview,FS-R,niveau2.6,traduction,107,0,64,1.0,0.6257,0.7698
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,auteur,78,1,87,0.9873,0.4727,0.6393
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,bibliographie,75,38,43,0.6637,0.6356,0.6494
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,definition,180,96,3,0.6522,0.9836,0.7843
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,exemple,182,78,59,0.7,0.7552,0.7265
gemini-3.1-flash-lite-preview,FS-R,niveau2.8,reference,22,4,7,0.8462,0.7586,0.8
