document,model,prompt,mainEntry_precision,mainEntry_recall,mainEntry_f1,relatedEntry_precision,relatedEntry_recall,relatedEntry_f1
TR1_p453-454,gemini-3.1-flash-lite-preview,FS,1.00,0.89,0.94,0.75,0.75,0.75
TR1_p453-454,gemini-3.1-flash-lite-preview,FS-R,1.00,0.89,0.94,0.20,0.25,0.22
TR1_p453-454,gemini-3.1-flash-lite-preview,ZS,1.00,0.89,0.94,0.60,0.75,0.67
TR1_p453-454,gemma-3-27b-it,FS,1.00,0.89,0.94,0.40,0.50,0.44
TR1_p453-454,gemma-3-27b-it,FS-R,1.00,0.89,0.94,0.80,1.00,0.89
TR1_p453-454,gpt-5-mini,FS,1.00,0.89,0.94,0.20,0.25,0.22
TR1_p453-454,gpt-5-mini,FS-R,1.00,0.89,0.94,0.20,0.25,0.22
TR1_p453-454,gpt-5-mini,ZS,1.00,0.89,0.94,0.60,0.75,0.67
TR1_p453-454,gpt-5.4-mini,FS,1.00,0.89,0.94,1.00,1.00,1.00
TR1_p453-454,gpt-5.4-mini,FS-R,1.00,0.89,0.94,0.50,0.50,0.50
TR1_p453-454,gpt-5.4-mini,ZS,1.00,0.89,0.94,0.00,0.00,0.00
TR1_p2001-2002,gemini-3.1-flash-lite-preview,FS,1.00,1.00,1.00,1.00,0.20,0.33
TR1_p2001-2002,gemini-3.1-flash-lite-preview,FS-R,1.00,1.00,1.00,1.00,0.20,0.33
TR1_p2001-2002,gemini-3.1-flash-lite-preview,ZS,1.00,0.21,0.35,0.00,0.00,0.00
TR1_p2001-2002,gemma-3-27b-it,FS,0.93,1.00,0.97,0.00,0.00,0.00
TR1_p2001-2002,gemma-3-27b-it,FS-R,0.93,1.00,0.97,0.00,0.00,0.00
TR1_p2001-2002,gemma-3-27b-it,ZS,0.68,0.93,0.79,0.00,0.00,0.00
TR1_p2001-2002,gpt-5-mini,FS,1.00,1.00,1.00,1.00,0.20,0.33
TR1_p2001-2002,gpt-5-mini,FS-R,1.00,1.00,1.00,0.00,0.00,0.00
TR1_p2001-2002,gpt-5-mini,ZS,1.00,1.00,1.00,1.00,0.20,0.33
TR1_p2001-2002,gpt-5.4-mini,FS,1.00,1.00,1.00,0.00,0.00,0.00
TR1_p2001-2002,gpt-5.4-mini,FS-R,0.93,0.93,0.93,0.00,0.00,0.00
TR2_p37-38,gemini-3.1-flash-lite-preview,FS,0.88,1.00,0.93,0.00,0.00,0.00
TR2_p37-38,gemini-3.1-flash-lite-preview,FS-R,0.88,1.00,0.93,0.00,0.00,0.00
TR2_p37-38,gemini-3.1-flash-lite-preview,ZS,0.88,1.00,0.93,0.00,0.00,0.00
TR2_p37-38,gemma-3-27b-it,FS,0.52,0.86,0.65,1.00,0.25,0.40
TR2_p37-38,gemma-3-27b-it,FS-R,0.59,0.71,0.65,0.00,0.00,0.00
TR2_p37-38,gemma-3-27b-it,ZS,0.44,0.79,0.56,0.00,0.00,0.00
TR2_p37-38,gpt-5-mini,FS,0.93,1.00,0.97,0.00,0.00,0.00
TR2_p37-38,gpt-5-mini,FS-R,0.88,1.00,0.93,0.50,0.25,0.33
TR2_p37-38,gpt-5-mini,ZS,0.93,1.00,0.97,0.00,0.00,0.00
TR2_p37-38,gpt-5.4-mini,FS,0.88,1.00,0.93,0.00,0.00,0.00
TR2_p37-38,gpt-5.4-mini,FS-R,0.88,1.00,0.93,1.00,0.25,0.40
TR2_p37-38,gpt-5.4-mini,ZS,0.88,1.00,0.93,0.00,0.00,0.00
TR2_p1785-1786,gemini-3.1-flash-lite-preview,FS,0.80,0.80,0.80,1.00,0.19,0.32
TR2_p1785-1786,gemini-3.1-flash-lite-preview,FS-R,0.80,0.80,0.80,1.00,0.12,0.22
TR2_p1785-1786,gemini-3.1-flash-lite-preview,ZS,0.80,0.80,0.80,1.00,0.12,0.22
TR2_p1785-1786,gemma-3-27b-it,FS,0.29,0.80,0.42,0.00,0.00,0.00
TR2_p1785-1786,gemma-3-27b-it,FS-R,0.50,0.60,0.55,0.70,0.88,0.78
TR2_p1785-1786,gemma-3-27b-it,ZS,0.23,1.00,0.37,0.00,0.00,0.00
TR2_p1785-1786,gpt-5-mini,FS,0.80,0.80,0.80,1.00,0.19,0.32
TR2_p1785-1786,gpt-5-mini,FS-R,0.80,0.80,0.80,1.00,0.12,0.22
TR2_p1785-1786,gpt-5-mini,ZS,0.80,0.80,0.80,1.00,0.19,0.32
TR2_p1785-1786,gpt-5.4-mini,FS,0.80,0.80,0.80,1.00,0.06,0.12
TR2_p1785-1786,gpt-5.4-mini,FS-R,0.80,0.80,0.80,0.00,0.00,0.00
TR2_p1785-1786,gpt-5.4-mini,ZS,0.80,0.80,0.80,1.00,0.06,0.12
TR3_p5-6,gemini-3.1-flash-lite-preview,FS,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gemini-3.1-flash-lite-preview,FS-R,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gemini-3.1-flash-lite-preview,ZS,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gemma-3-27b-it,FS,0.67,1.00,0.80,0.00,0.00,0.00
TR3_p5-6,gemma-3-27b-it,FS-R,1.00,1.00,1.00,0.25,0.50,0.33
TR3_p5-6,gemma-3-27b-it,ZS,0.67,1.00,0.80,0.00,0.00,0.00
TR3_p5-6,gpt-5-mini,FS,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gpt-5-mini,FS-R,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gpt-5-mini,ZS,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gpt-5.4-mini,FS,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gpt-5.4-mini,FS-R,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p5-6,gpt-5.4-mini,ZS,1.00,1.00,1.00,0.00,0.00,0.00
TR3_p7-8,gemini-3.1-flash-lite-preview,FS,0.92,1.00,0.96,0.00,0.00,0.00
TR3_p7-8,gemini-3.1-flash-lite-preview,FS-R,0.86,1.00,0.92,0.00,0.00,0.00
TR3_p7-8,gemini-3.1-flash-lite-preview,ZS,0.92,1.00,0.96,0.00,0.00,0.00
TR3_p7-8,gemma-3-27b-it,FS,0.77,0.83,0.80,0.25,0.17,0.20
TR3_p7-8,gemma-3-27b-it,FS-R,0.86,1.00,0.92,0.71,0.83,0.77
TR3_p7-8,gemma-3-27b-it,ZS,0.75,1.00,0.86,0.00,0.00,0.00
TR3_p7-8,gpt-5-mini,FS,0.92,1.00,0.96,0.00,0.00,0.00
TR3_p7-8,gpt-5-mini,FS-R,0.92,1.00,0.96,0.00,0.00,0.00
TR3_p7-8,gpt-5-mini,ZS,0.92,1.00,0.96,0.00,0.00,0.00
TR3_p7-8,gpt-5.4-mini,FS,0.92,1.00,0.96,0.00,0.00,0.00
TR3_p7-8,gpt-5.4-mini,FS-R,0.92,1.00,0.96,0.00,0.00,0.00
TR4_p131-132,gemini-3.1-flash-lite-preview,FS,1.00,0.08,0.15,0.00,0.00,0.00
TR4_p131-132,gemini-3.1-flash-lite-preview,FS-R,0.91,0.83,0.87,0.50,0.17,0.25
TR4_p131-132,gemini-3.1-flash-lite-preview,ZS,0.92,0.92,0.92,0.00,0.00,0.00
TR4_p131-132,gemma-3-27b-it,FS,0.73,0.92,0.81,0.00,0.00,0.00
TR4_p131-132,gemma-3-27b-it,FS-R,0.60,0.50,0.55,0.00,0.00,0.00
TR4_p131-132,gemma-3-27b-it,ZS,0.41,0.92,0.56,0.00,0.00,0.00
TR4_p131-132,gpt-5-mini,FS,0.92,0.92,0.92,1.00,0.17,0.29
