model,prompt,document,element,precision,recall,f1,source_file
gemini-3.1-flash-lite-preview,FS-R,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS-R_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gemini-3.1-flash-lite-preview_FS-R_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p453-454,mainEntry,1.00,0.89,0.94,gemini-3.1-flash-lite-preview_FS-R_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p453-454,relatedEntry,0.20,0.25,0.22,gemini-3.1-flash-lite-preview_FS-R_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p5-6,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS-R_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p5-6,relatedEntry,0.50,0.50,0.50,gemini-3.1-flash-lite-preview_FS-R_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p7-8,mainEntry,0.86,1.00,0.92,gemini-3.1-flash-lite-preview_FS-R_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS-R_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS-R,TR4_p131-132,mainEntry,0.71,0.83,0.77,gemini-3.1-flash-lite-preview_FS-R_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS-R,TR4_p131-132,relatedEntry,0.50,0.17,0.25,gemini-3.1-flash-lite-preview_FS-R_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p489-490,mainEntry,0.90,0.90,0.90,gemini-3.1-flash-lite-preview_FS-R_TR5_p489-490.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p489-490,relatedEntry,1.00,0.17,0.29,gemini-3.1-flash-lite-preview_FS-R_TR5_p489-490.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p505-506,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS-R_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p505-506,relatedEntry,0.89,1.00,0.94,gemini-3.1-flash-lite-preview_FS-R_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,mainEntry,0.94,0.94,0.94,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,relatedEntry,1.00,0.20,0.33,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,mainEntry,1.00,0.89,0.94,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,relatedEntry,0.75,0.75,0.75,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR2_p1785-1786,mainEntry,0.80,0.80,0.80,gemini-3.1-flash-lite-preview_FS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS,TR2_p1785-1786,relatedEntry,1.00,0.12,0.22,gemini-3.1-flash-lite-preview_FS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS,TR2_p37-38,mainEntry,0.88,1.00,0.93,gemini-3.1-flash-lite-preview_FS_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS,TR2_p37-38,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS,TR3_p5-6,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS,TR3_p5-6,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS,TR3_p7-8,mainEntry,0.92,1.00,0.96,gemini-3.1-flash-lite-preview_FS_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS,TR3_p7-8,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS,TR4_p131-132,mainEntry,0.92,0.92,0.92,gemini-3.1-flash-lite-preview_FS_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS,TR4_p131-132,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS,TR5_p489-490,mainEntry,0.89,0.80,0.84,gemini-3.1-flash-lite-preview_FS_TR5_p489-490.json
gemini-3.1-flash-lite-preview,FS,TR5_p489-490,relatedEntry,0.00,0.00,0.00,gemini-3.1-flash-lite-preview_FS_TR5_p489-490.json
gemini-3.1-flash-lite-preview,FS,TR5_p505-506,mainEntry,1.00,1.00,1.00,gemini-3.1-flash-lite-preview_FS_TR5_p505-506.json
