model,prompt,document,tag,precision,recall,f1,pred_count,gold_count,source_file
gemini-3.1-flash-lite-preview,FS-R,TR1_p2001-2002,usg_dom,1.00,0.50,0.67,1,2,gemini-3.1-flash-lite-preview_FS-R_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p2001-2002,usg_other,1.00,0.25,0.40,1,4,gemini-3.1-flash-lite-preview_FS-R_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p2001-2002,milestone,0.00,0.00,0.00,0,8,gemini-3.1-flash-lite-preview_FS-R_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p453-454,usg_dom,1.00,0.50,0.67,1,2,gemini-3.1-flash-lite-preview_FS-R_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p453-454,usg_other,0.00,0.00,0.00,0,0,gemini-3.1-flash-lite-preview_FS-R_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS-R,TR1_p453-454,milestone,0.00,0.00,0.00,0,2,gemini-3.1-flash-lite-preview_FS-R_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS-R,TR2_p1785-1786,usg_dom,1.00,0.67,0.80,2,3,gemini-3.1-flash-lite-preview_FS-R_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS-R,TR2_p1785-1786,usg_other,1.00,0.33,0.50,2,6,gemini-3.1-flash-lite-preview_FS-R_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS-R,TR2_p1785-1786,milestone,0.50,1.00,0.67,2,1,gemini-3.1-flash-lite-preview_FS-R_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS-R,TR2_p37-38,usg_dom,0.00,0.00,0.00,0,0,gemini-3.1-flash-lite-preview_FS-R_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS-R,TR2_p37-38,usg_other,1.00,0.50,0.67,6,12,gemini-3.1-flash-lite-preview_FS-R_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS-R,TR2_p37-38,milestone,0.00,0.00,0.00,0,6,gemini-3.1-flash-lite-preview_FS-R_TR2_p37-38.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p5-6,usg_dom,0.00,0.00,0.00,0,0,gemini-3.1-flash-lite-preview_FS-R_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p5-6,usg_other,0.00,0.00,0.00,0,0,gemini-3.1-flash-lite-preview_FS-R_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p5-6,milestone,0.50,1.00,0.67,8,4,gemini-3.1-flash-lite-preview_FS-R_TR3_p5-6.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p7-8,usg_dom,0.00,0.00,0.00,0,1,gemini-3.1-flash-lite-preview_FS-R_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p7-8,usg_other,1.00,0.25,0.40,1,4,gemini-3.1-flash-lite-preview_FS-R_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS-R,TR3_p7-8,milestone,0.00,0.00,0.00,0,6,gemini-3.1-flash-lite-preview_FS-R_TR3_p7-8.json
gemini-3.1-flash-lite-preview,FS-R,TR4_p131-132,usg_dom,1.00,1.00,1.00,3,3,gemini-3.1-flash-lite-preview_FS-R_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS-R,TR4_p131-132,usg_other,1.00,0.50,0.67,1,2,gemini-3.1-flash-lite-preview_FS-R_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS-R,TR4_p131-132,milestone,0.00,0.00,0.00,0,7,gemini-3.1-flash-lite-preview_FS-R_TR4_p131-132.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p505-506,usg_dom,1.00,1.00,1.00,1,1,gemini-3.1-flash-lite-preview_FS-R_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p505-506,usg_other,0.00,0.00,0.00,0,0,gemini-3.1-flash-lite-preview_FS-R_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS-R,TR5_p505-506,milestone,0.00,0.00,0.00,0,1,gemini-3.1-flash-lite-preview_FS-R_TR5_p505-506.json
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,usg_dom,1.00,1.00,1.00,2,2,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,usg_other,0.00,0.00,0.00,0,3,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS-R,TR6_p1003-1004,milestone,0.00,0.00,0.00,0,6,gemini-3.1-flash-lite-preview_FS-R_TR6_p1003-1004.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,usg_dom,1.00,0.50,0.67,1,2,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,usg_other,1.00,0.75,0.86,3,4,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p2001-2002,milestone,0.73,1.00,0.84,11,8,gemini-3.1-flash-lite-preview_FS_TR1_p2001-2002.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,usg_dom,1.00,0.50,0.67,1,2,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,usg_other,0.00,0.00,0.00,0,0,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR1_p453-454,milestone,0.67,1.00,0.80,3,2,gemini-3.1-flash-lite-preview_FS_TR1_p453-454.json
gemini-3.1-flash-lite-preview,FS,TR2_p1785-1786,usg_dom,1.00,0.67,0.80,2,3,gemini-3.1-flash-lite-preview_FS_TR2_p1785-1786.json
gemini-3.1-flash-lite-preview,FS,TR2_p1785-1786,usg_other,1.00,0.17,0.29,1,6,gemini-3.1-flash-lite-preview_FS_TR2_p1785-1786.json
